timestamp,username,event_type,ip_address,city,country,latitude,longitude,device_id,session_id,prev_city,prev_country,prev_latitude,prev_longitude,prev_timestamp,distance_km,time_diff_hours,travel_speed_kmh,is_impossible_travel,hour_of_day,day_of_week,hour_sin,hour_cos,day_sin,day_cos,speed_log,distance_log,time_diff_log,is_same_country,is_first_login,lat_diff,lon_diff,manhattan_distance_deg,speed_category,distance_category,speed_zscore,exceeds_900kmh,exceeds_500kmh,exceeds_300kmh,very_short_interval,short_interval,very_long_distance,long_distance,high_risk_combo
2024-01-07 13:06:33,user001,LOGIN_SUCCESS,176.228.179.57,Sydney,Australia,-33.8688,151.2093,device_5641,session_43016,FIRST_LOGIN,FIRST_LOGIN,0.0,0.0,1970-01-01 00:00:00,0.0,0.0,0.0,0,13,6,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,9.999995000003334e-07,9.999995000003334e-07,9.999995000003334e-07,0,1,33.8688,151.2093,185.0781,0,0,-0.1266863210239924,0,0,0,1,1,0,0,0
2024-02-26 18:42:31,user001,LOGIN_SUCCESS,244.46.38.186,Paris,France,48.8566,2.3522,device_2659,session_43540,Sydney,Australia,-33.8688,151.2093,2024-01-07 13:06:33,16960.497376398744,1205.5994444444443,14.06810317850997,0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0,2.7125802036969193,9.738701194210389,7.095561306404736,0,0,82.72540000000001,148.8571,231.5825,0,3,-0.12125691714112631,0,0,0,0,0,1,1,0
2024-03-15 04:34:16,user001,LOGIN_SUCCESS,29.13.67.4,Berlin,Germany,52.52,13.405,device_6869,session_41186,Paris,France,48.8566,2.3522,2024-02-26 18:42:31,877.4633259175432,417.8625,2.0998853113585048,0,4,4,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.1313654370632809,6.778174161642019,6.037542706161359,0,0,3.663400000000003,11.0528,14.716200000000002,0,0,-0.12587589723633644,0,0,0,0,0,0,0,0
2024-03-17 05:30:47,user001,LOGIN_FAILED,192.153.240.106,Paris,France,48.8566,2.3522,device_6526,session_68192,Berlin,Germany,52.52,13.405,2024-03-15 04:34:16,877.4633259175432,48.941944444444445,17.92865681733548,0,5,6,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,2.9406770602952537,6.778174161642019,3.910861239728528,0,0,3.663400000000003,11.0528,14.716200000000002,0,0,-0.11976698600750547,0,0,0,0,0,0,0,0
2024-04-21 10:26:19,user001,LOGIN_FAILED,96.237.16.85,Chicago,USA,41.8781,-87.6298,device_2314,session_29148,Paris,France,48.8566,2.3522,2024-03-17 05:30:47,6650.627492389446,844.9255555555555,7.871258537110438,0,10,6,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,2.1828167859147207,8.802616839555004,6.740431361119287,0,0,6.978499999999997,89.982,96.9605,0,2,-0.12364850980508459,0,0,0,0,0,0,1,0
2024-05-12 01:07:03,user001,LOGIN_SUCCESS,20.135.168.177,Mumbai,India,19.076,72.8777,device_7218,session_45377,Chicago,USA,41.8781,-87.6298,2024-04-21 10:26:19,12946.957129725904,494.6788888888889,26.172447259284503,0,1,6,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,3.3022035282960456,9.468693304160665,6.20592831765387,0,0,22.802100000000003,160.5075,183.3096,0,3,-0.11658540088070424,0,0,0,0,0,1,1,0
2024-06-06 03:13:33,user001,LOGIN_FAILED,108.251.30.249,Singapore,Singapore,1.3521,103.8198,device_3332,session_46677,Mumbai,India,19.076,72.8777,2024-05-12 01:07:03,3903.777132277807,602.1083333333333,6.483512876604941,0,3,3,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419,2.0127024512787832,8.269955988501142,6.4020968395180375,0,0,17.7239,30.942099999999996,48.666,0,1,-0.1241840924335294,0,0,0,0,0,0,0,0
2024-07-12 07:24:06,user001,LOGIN_SUCCESS,45.156.250.25,Sydney,Australia,-33.8688,151.2093,device_9666,session_55731,Singapore,Singapore,1.3521,103.8198,2024-06-06 03:13:33,6306.250712380876,868.1758333333333,7.263794349317727,0,7,4,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,2.1118839673913556,8.749455157479868,6.767545445802199,0,0,35.2209,47.38950000000001,82.61040000000001,0,2,-0.12388295281264954,0,0,0,0,0,0,1,0
2024-07-28 20:09:04,user001,LOGIN_SUCCESS,201.135.173.160,Chicago,USA,41.8781,-87.6298,device_7512,session_95175,Sydney,Australia,-33.8688,151.2093,2024-07-12 07:24:06,14875.880443264834,396.74944444444446,37.49439514425799,0,20,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,3.6505126760050284,9.607563638845113,5.985822272985484,0,0,75.74690000000001,238.83910000000003,314.586,0,3,-0.11221584039139926,0,0,0,0,0,1,1,0
2024-07-30 01:12:33,user001,LOGIN_FAILED,160.255.226.195,Moscow,Russia,55.7558,37.6173,device_1845,session_36680,Chicago,USA,41.8781,-87.6298,2024-07-28 20:09:04,7999.251856058927,29.058055555555555,275.2851731859796,0,1,1,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,5.621433572096583,8.987228302298787,3.403130730057659,0,0,13.877699999999997,125.2471,139.1248,1,2,-0.020443541224467784,0,0,0,0,0,0,1,0
2024-08-15 11:48:17,user001,LOGIN_SUCCESS,34.44.95.111,Sydney,Australia,-33.8688,151.2093,device_8353,session_83005,Moscow,Russia,55.7558,37.6173,2024-07-30 01:12:33,14496.158557674806,394.5955555555556,36.736750714958,0,11,3,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,3.630634466150258,9.581707947735005,5.980392367520551,0,0,89.6246,113.59200000000001,203.21660000000003,0,3,-0.11250824353587982,0,0,0,0,0,1,1,0
2024-10-21 03:43:50,user001,LOGIN_SUCCESS,97.218.86.238,Paris,France,48.8566,2.3522,device_1922,session_22589,Sydney,Australia,-33.8688,151.2093,2024-08-15 11:48:17,16960.497376398744,1599.9258333333332,10.600802251603586,0,3,0,0.7071067811865476,0.7071067811865476,0.0,1.0,2.4510743415428324,9.738701194210389,7.378337387334899,0,0,82.72540000000001,148.8571,231.5825,0,3,-0.1225950774372754,0,0,0,0,0,1,1,0
